make,fuel-type,aspiration,num-doors,body-style,drive-wheels,engine-location
alfa-romero,gas,std,two,convertible,rwd,front
alfa-romero,gas,std,two,convertible,rwd,front
alfa-romero,gas,std,two,hatchback,rwd,front
audi,gas,std,four,sedan,fwd,front
audi,gas,std,four,sedan,4wd,front
audi,gas,std,two,sedan,fwd,front
audi,gas,std,four,sedan,fwd,front
audi,gas,std,four,wagon,fwd,front
audi,gas,turbo,four,sedan,fwd,front
audi,gas,turbo,two,hatchback,4wd,front
bmw,gas,std,two,sedan,rwd,front
bmw,gas,std,four,sedan,rwd,front
bmw,gas,std,two,sedan,rwd,front
bmw,gas,std,four,sedan,rwd,front
bmw,gas,std,four,sedan,rwd,front
bmw,gas,std,four,sedan,rwd,front
bmw,gas,std,two,sedan,rwd,front
bmw,gas,std,four,sedan,rwd,front
chevrolet,gas,std,two,hatchback,fwd,front
chevrolet,gas,std,two,hatchback,fwd,front
chevrolet,gas,std,four,sedan,fwd,front
dodge,gas,std,two,hatchback,fwd,front
dodge,gas,std,two,hatchback,fwd,front
dodge,gas,turbo,two,hatchback,fwd,front
dodge,gas,std,four,hatchback,fwd,front
dodge,gas,std,four,sedan,fwd,front
dodge,gas,std,four,sedan,fwd,front
dodge,gas,turbo,?,sedan,fwd,front
dodge,gas,std,four,wagon,fwd,front
dodge,gas,turbo,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,four,sedan,fwd,front
honda,gas,std,four,wagon,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,two,hatchback,fwd,front
honda,gas,std,four,sedan,fwd,front
honda,gas,std,four,sedan,fwd,front
honda,gas,std,four,sedan,fwd,front
honda,gas,std,two,sedan,fwd,front
isuzu,gas,std,four,sedan,rwd,front
isuzu,gas,std,two,sedan,fwd,front
isuzu,gas,std,four,sedan,fwd,front
isuzu,gas,std,two,hatchback,rwd,front
jaguar,gas,std,four,sedan,rwd,front
jaguar,gas,std,four,sedan,rwd,front
jaguar,gas,std,two,sedan,rwd,front
mazda,gas,std,two,hatchback,fwd,front
mazda,gas,std,two,hatchback,fwd,front
mazda,gas,std,two,hatchback,fwd,front
mazda,gas,std,four,sedan,fwd,front
mazda,gas,std,four,sedan,fwd,front
mazda,gas,std,two,hatchback,rwd,front
mazda,gas,std,two,hatchback,rwd,front
mazda,gas,std,two,hatchback,rwd,front
mazda,gas,std,two,hatchback,rwd,front
mazda,gas,std,two,hatchback,fwd,front
mazda,gas,std,four,sedan,fwd,front
mazda,gas,std,two,hatchback,fwd,front
mazda,gas,std,four,sedan,fwd,front
mazda,diesel,std,?,sedan,fwd,front
mazda,gas,std,four,hatchback,fwd,front
mazda,gas,std,four,sedan,rwd,front
mazda,diesel,std,four,sedan,rwd,front
mercedes-benz,diesel,turbo,four,sedan,rwd,front
mercedes-benz,diesel,turbo,four,wagon,rwd,front
mercedes-benz,diesel,turbo,two,hardtop,rwd,front
mercedes-benz,diesel,turbo,four,sedan,rwd,front
mercedes-benz,gas,std,four,sedan,rwd,front
mercedes-benz,gas,std,two,convertible,rwd,front
mercedes-benz,gas,std,four,sedan,rwd,front
mercedes-benz,gas,std,two,hardtop,rwd,front
mercury,gas,turbo,two,hatchback,rwd,front
mitsubishi,gas,std,two,hatchback,fwd,front
mitsubishi,gas,std,two,hatchback,fwd,front
mitsubishi,gas,std,two,hatchback,fwd,front
mitsubishi,gas,turbo,two,hatchback,fwd,front
mitsubishi,gas,turbo,two,hatchback,fwd,front
mitsubishi,gas,std,two,hatchback,fwd,front
mitsubishi,gas,turbo,two,hatchback,fwd,front
mitsubishi,gas,turbo,two,hatchback,fwd,front
mitsubishi,gas,turbo,two,hatchback,fwd,front
mitsubishi,gas,std,four,sedan,fwd,front
mitsubishi,gas,std,four,sedan,fwd,front
mitsubishi,gas,turbo,four,sedan,fwd,front
mitsubishi,gas,std,four,sedan,fwd,front
nissan,gas,std,two,sedan,fwd,front
nissan,diesel,std,two,sedan,fwd,front
nissan,gas,std,two,sedan,fwd,front
nissan,gas,std,four,sedan,fwd,front
nissan,gas,std,four,wagon,fwd,front
nissan,gas,std,two,sedan,fwd,front
nissan,gas,std,two,hatchback,fwd,front
nissan,gas,std,four,sedan,fwd,front
nissan,gas,std,four,wagon,fwd,front
nissan,gas,std,two,hardtop,fwd,front
nissan,gas,std,four,hatchback,fwd,front
nissan,gas,std,four,sedan,fwd,front
nissan,gas,std,four,sedan,fwd,front
nissan,gas,std,four,wagon,fwd,front
nissan,gas,std,four,sedan,fwd,front
nissan,gas,std,two,hatchback,rwd,front
nissan,gas,turbo,two,hatchback,rwd,front
nissan,gas,std,two,hatchback,rwd,front
peugot,gas,std,four,sedan,rwd,front
peugot,diesel,turbo,four,sedan,rwd,front
peugot,gas,std,four,wagon,rwd,front
peugot,diesel,turbo,four,wagon,rwd,front
peugot,gas,std,four,sedan,rwd,front
peugot,diesel,turbo,four,sedan,rwd,front
peugot,gas,std,four,wagon,rwd,front
peugot,diesel,turbo,four,wagon,rwd,front
peugot,gas,std,four,sedan,rwd,front
peugot,diesel,turbo,four,sedan,rwd,front
peugot,gas,turbo,four,sedan,rwd,front
plymouth,gas,std,two,hatchback,fwd,front
plymouth,gas,turbo,two,hatchback,fwd,front
plymouth,gas,std,four,hatchback,fwd,front
plymouth,gas,std,four,sedan,fwd,front
plymouth,gas,std,four,sedan,fwd,front
plymouth,gas,std,four,wagon,fwd,front
plymouth,gas,turbo,two,hatchback,rwd,front
porsche,gas,std,two,hatchback,rwd,front
porsche,gas,std,two,hardtop,rwd,rear
porsche,gas,std,two,hardtop,rwd,rear
porsche,gas,std,two,convertible,rwd,rear
porsche,gas,std,two,hatchback,rwd,front
renault,gas,std,four,wagon,fwd,front
renault,gas,std,two,hatchback,fwd,front
saab,gas,std,two,hatchback,fwd,front
saab,gas,std,four,sedan,fwd,front
saab,gas,std,two,hatchback,fwd,front
saab,gas,std,four,sedan,fwd,front
saab,gas,turbo,two,hatchback,fwd,front
saab,gas,turbo,four,sedan,fwd,front
subaru,gas,std,two,hatchback,fwd,front
subaru,gas,std,two,hatchback,fwd,front
subaru,gas,std,two,hatchback,4wd,front
subaru,gas,std,four,sedan,fwd,front
subaru,gas,std,four,sedan,fwd,front
subaru,gas,std,four,sedan,fwd,front
subaru,gas,std,four,sedan,4wd,front
subaru,gas,turbo,four,sedan,4wd,front
subaru,gas,std,four,wagon,fwd,front
