position,number,name,height-in,weight-lb,age,from,team,salary-14-15
Forward,30,Brandon Bass,80,250,29,LSU,Boston Celtics,6900000
Guard,0,Avery Bradley,74,180,24,Texas,Boston Celtics,7191011
Forward-center,38,Vitor Faverani,83,260,26,Brazil,Boston Celtics,2090000
Forward,8,Jeff Green,81,235,28,Georgetown,Boston Celtics,9445000
Forward-center,41,Kelly Olynyk,84,238,23,Gonzaga,Boston Celtics,2075760
Forward,12,Dwight Powell,83,240,23,Stanford,Boston Celtics,507336
Guard,26,Phil Pressey,71,175,23,Missouri,Boston Celtics,816482
Guard,9,Rajon Rondo,73,186,28,Kentucky,Boston Celtics,12909091
Guard,36,Marcus Smart,75,227,20,Oklahoma State,Boston Celtics,3283320
Forward,7,Jared Sullinger,81,260,22,Ohio State,Boston Celtics,1424520
Guard,4,Marcus Thornton,76,205,27,LSU,Boston Celtics,8575000
Swingman,11,Evan Turner,79,220,26,Ohio State,Boston Celtics,3278000
Forward,45,Gerald Wallace,79,220,32,Alabama,Boston Celtics,10105855
Swingman,13,James Young,78,215,19,Kentucky,Boston Celtics,1674480
Forward-center,44,Tyler Zeller,84,253,24,North Carolina,Boston Celtics,1703760
Swingman,6,Alan Anderson,78,220,32,Michigan State,Brooklyn Nets,1276061
Swingman,44,Bojan Bogdanovic,80,216,25,Croatia,Brooklyn Nets,3278000
Guard,22,Markel Brown,76,185,22,Oklahoma State,Brooklyn Nets,507336
Forward-center,2,Kevin Garnett,83,253,38,Farragut HS (IL),Brooklyn Nets,12000000
Guard,13,Jorge Gutierrez,75,195,26,California,Brooklyn Nets,816482
Guard,0,Jarrett Jack,75,200,31,Georgia Tech,Brooklyn Nets,6300000
Forward,21,Cory Jefferson,81,220,24,Baylor,Brooklyn Nets,507336
Swingman,7,Joe Johnson,79,240,33,Arkansas,Brooklyn Nets,23180790
Center,9,Jerome Jordan,84,253,28,Tulsa,Brooklyn Nets,915243
Swingman,10,Sergey Karasev,79,196,21,Russia,Brooklyn Nets,1533840
Forward,47,Andrei Kirilenko,81,235,33,Russia,Brooklyn Nets,3326235
Center,11,Brook Lopez,84,275,26,Stanford,Brooklyn Nets,15719063
Forward-center,1,Mason Plumlee,83,235,24,Duke,Brooklyn Nets,1357080
Forward,33,Mirza Teletovic,81,255,29,Bosnia and Herzegovina,Brooklyn Nets,3368100
Guard,8,Deron Williams,75,209,30,Illinois,Brooklyn Nets,19754465
Forward,4,Quincy Acy,79,225,24,Baylor,New York Knicks,915243
Center,45,Cole Aldrich,83,245,26,Kansas,New York Knicks,981084
Forward,7,Carmelo Anthony,80,235,30,Syracuse,New York Knicks,22458000
Forward-center,77,Andrea Bargnani,84,250,29,Italy,New York Knicks,11500000
Guard,3,Jose Calderon,75,211,33,Spain,New York Knicks,7097191
Center,11,Samuel Dalembert,83,250,33,Seton Hall,New York Knicks,3867282
Forward,17,Cleanthony Early,80,219,23,Wichita State,New York Knicks,507336
Guard,5,Tim Hardaway,78,205,22,Michigan,New York Knicks,1250640
Guard,0,Shane Larkin,71,176,22,Miami (FL),New York Knicks,1606080
Guard,9,Pablo Prigioni,75,185,37,Argentina,New York Knicks,1662961
Swingman,21,Iman Shumpert,77,220,24,Georgia Tech,New York Knicks,2616975
Swingman,8,J. R. Smith,78,220,29,St. Benedict's Prep (NJ),New York Knicks,5982375
Forward-center,14,Jason Smith,84,240,28,Colorado State,New York Knicks,3278000
Forward-center,1,Amar'e Stoudemire,83,245,32,Cypress Creek HS (FL),New York Knicks,23410988
Forward,6,Travis Wear,82,230,24,UCLA,New York Knicks,507336
Guard,1,Michael Carter-Williams,78,185,23,Syracuse,Philadelphia 76ers,2300040
Forward,0,Brandon Davies,82,240,23,Brigham Young,Philadelphia 76ers,816482
Center,21,Joel Embiid,84,250,20,Kansas,Philadelphia 76ers,4427640
Forward,30,Drew Gordon,81,245,24,New Mexico,Philadelphia 76ers,462571
Forward,39,Jerami Grant,80,210,20,Syracuse,Philadelphia 76ers,884879
Swingman,16,Chris Johnson,78,201,24,Dayton,Philadelphia 76ers,915243
Forward,12,Luc Mbah a Moute,80,230,28,UCLA,Philadelphia 76ers,4382576
Forward,14,K. J. McDaniels,78,200,21,Clemson,Philadelphia 76ers,507336
Forward-center,4,Nerlens Noel,83,228,20,Kentucky,Philadelphia 76ers,3315120
Swingman,23,Jason Richardson,78,225,33,Michigan State,Philadelphia 76ers,6601125
Forward,9,JaKarr Sampson,81,214,21,St. John's,Philadelphia 76ers,507336
Guard,88,Alexey Shved,78,187,26,Russia,Philadelphia 76ers,3282056
Forward-center,35,Henry Sims,82,248,24,Georgetown,Philadelphia 76ers,915243
Swingman,31,Hollis Thompson,80,206,23,Georgetown,Philadelphia 76ers,816482
Guard,8,Tony Wroten,78,205,21,Washington,Philadelphia 76ers,1210080
Forward,5,Bruno Caboclo,81,200,19,Brazil,Toronto Raptors,1458360
Swingman,10,DeMar DeRozan,79,216,25,Southern California,Toronto Raptors,9500000
Swingman,2,Landry Fields,79,215,26,Stanford,Toronto Raptors,6250000
Forward-center,50,Tyler Hansbrough,81,250,29,North Carolina,Toronto Raptors,3326235
Center,44,Chuck Hayes,78,250,31,Kentucky,Toronto Raptors,5958750
Forward-center,15,Amir Johnson,81,210,27,Westchester HS (CA),Toronto Raptors,7000000
Forward,3,James Johnson,81,248,27,Wake Forest,Toronto Raptors,2500000
Guard,7,Kyle Lowry,72,205,28,Villanova,Toronto Raptors,12000000
Center,92,Lucas Nogueira,84,220,22,Brazil,Toronto Raptors,1762680
Forward-center,54,Patrick Patterson,81,235,25,Kentucky,Toronto Raptors,5831326
Swingman,31,Terrence Ross,78,195,23,Washington,Toronto Raptors,2793960
Center,34,Greg Stiemsma,83,260,29,Wisconsin,Toronto Raptors,981084
Center,17,Jonas Valanciunas,84,255,22,Lithuania,Toronto Raptors,3678360
Guard,21,Greivis Vasquez,78,211,27,Maryland,Toronto Raptors,6400000
Guard,23,Louis Williams,74,175,28,South Gwinnett HS (GA),Toronto Raptors,5450000
Forward-center,41,Cameron Bairstow,82,250,24,New Mexico,Chicago Bulls,507336
Guard,0,Aaron Brooks,72,161,29,Oregon,Chicago Bulls,1145685
Swingman,21,Jimmy Butler,79,220,25,Marquette,Chicago Bulls,2008748
Swingman,34,Mike Dunleavy,81,230,34,Duke,Chicago Bulls,3326235
Forward-center,16,Pau Gasol,84,250,34,Spain,Chicago Bulls,7128000
Forward,22,Taj Gibson,81,225,29,Southern California,Chicago Bulls,8000000
Guard,12,Kirk Hinrich,76,190,33,Kansas,Chicago Bulls,2730000
Forward,3,Doug McDermott,80,225,22,Creighton,Chicago Bulls,2277960
Forward,44,Nikola Mirotic,82,236,23,Spain,Chicago Bulls,5305000
Center,48,Nazr Mohammed,82,250,37,Kentucky,Chicago Bulls,1448490
Guard,55,E'Twaun Moore,76,191,25,Purdue,Chicago Bulls,948163
Center,13,Joakim Noah,83,232,29,Florida,Chicago Bulls,12200000
Guard,1,Derrick Rose,75,190,26,Memphis,Chicago Bulls,18862875
Swingman,20,Tony Snell,79,215,23,New Mexico,Chicago Bulls,1472400
Forward,89,Lou Amundson,81,225,32,UNLV,Cleveland Cavaliers,1310286
Guard,5,Will Cherry,73,176,23,Montana,Cleveland Cavaliers,492414
Guard,8,Matthew Dellavedova,76,200,24,St. Mary's (CA),Cleveland Cavaliers,816482
Guard,12,Joe Harris,78,215,23,Virginia,Cleveland Cavaliers,884879
Center,33,Brendan Haywood,84,263,35,North Carolina,Cleveland Cavaliers,2213688
Guard,2,Kyrie Irving,75,193,22,Duke,Cleveland Cavaliers,7070730
Forward,23,LeBron James,80,250,30,St. Vincent?St. Mary HS (OH),Cleveland Cavaliers,20644400
Swingman,1,James Jones,80,215,34,Miami (FL),Cleveland Cavaliers,1448490
Center,53,Alex Kirk,84,245,23,New Mexico,Cleveland Cavaliers,507336
Forward-center,0,Kevin Love,82,243,26,UCLA,Cleveland Cavaliers,15719062
Swingman,31,Shawn Marion,79,228,36,UNLV,Cleveland Cavaliers,1448490
Swingman,18,Mike Miller,80,218,34,Florida,Cleveland Cavaliers,2732000
Forward-center,13,Tristan Thompson,82,238,23,Texas,Cleveland Cavaliers,5138430
Forward-center,17,Anderson Varej?o,83,267,32,Brazil,Cleveland Cavaliers
Guard,3,Dion Waiters,75,225,23,Syracuse,Cleveland Cavaliers,4062000
Center,50,Joel Anthony,81,245,32,UNLV,Detroit Pistons,3800000
Guard,14,D. J. Augustin,72,183,27,Texas,Detroit Pistons,3000000
Forward,31,Caron Butler,79,221,34,Connecticut,Detroit Pistons,4500000
Guard,5,Kentavious Caldwell-Pope,77,205,21,Georgia,Detroit Pistons,2772480
Forward,13,Luigi Datome,80,215,27,Italy,Detroit Pistons,1750000
Guard,8,Spencer Dinwiddie,78,205,21,Colorado,Detroit Pistons,700000
Center,0,Andre Drummond,83,270,21,Connecticut,Detroit Pistons,2568360
Guard,7,Brandon Jennings,73,169,25,Oak Hill Academy (VA),Detroit Pistons,8000000
Forward,33,Jonas Jerebko,82,231,27,Sweden,Detroit Pistons,4500000
Swingman,35,Cartier Martin,79,220,30,Kansas State,Detroit Pistons,1145685
Guard,20,Jodie Meeks,76,208,27,Kentucky,Detroit Pistons,6000000
Forward,9,Tony Mitchell,80,235,22,North Texas,Detroit Pistons,816482
Forward-center,10,Greg Monroe,83,250,24,Georgetown,Detroit Pistons,5479934
Swingman,25,Kyle Singler,80,230,26,Duke,Detroit Pistons,1090000
Forward,6,Josh Smith,81,225,29,Oak Hill Academy (VA),Detroit Pistons,14000000
Forward-center,5,Lavoy Allen,81,255,25,Temple,Indiana Pacers,948163
Forward,22,Chris Copeland,80,235,30,Colorado,Indiana Pacers,3135000
Swingman,13,Paul George,81,220,24,Fresno State,Indiana Pacers,15925680
Center,55,Roy Hibbert,86,290,28,Georgetown,Indiana Pacers,14898938
Guard,3,George Hill,75,188,28,IUPUI,Indiana Pacers,8000000
Forward,44,Solomon Hill,79,225,23,Arizona,Indiana Pacers,1302840
Center,28,Ian Mahinmi,83,250,28,France,Indiana Pacers,4000000
Swingman,0,C. J. Miles,78,231,27,Skyline HS (TX),Indiana Pacers,4205000
Guard,12,A. J. Price,74,195,28,Connecticut,Indiana Pacers,915243
Forward,9,Damjan Rudez,82,201,28,Croatia,Indiana Pacers,1100000
Forward,4,Luis Scola,81,240,34,Argentina,Indiana Pacers,4868499
Guard,15,Donald Sloan,75,205,26,Texas A&M,Indiana Pacers,948163
Guard,2,Rodney Stuckey,77,205,28,Eastern Washington,Indiana Pacers,1227985
Guard,32,C. J. Watson,74,175,30,Tennessee,Indiana Pacers,2106720
Forward,21,David West,81,250,34,Xavier,Indiana Pacers,12000000
Forward-center,42,Shayne Whittington,82,237,23,Western Michigan,Indiana Pacers,507336
Swingman,34,Giannis Antetokounmpo,83,215,20,Greece,Milwaukee Bucks,1873200
Guard,19,Jerryd Bayless,75,200,26,Arizona,Milwaukee Bucks,3000000
Swingman,9,Jared Dudley,79,225,29,Boston College,Milwaukee Bucks,4250000
Forward-center,31,John Henson,83,220,24,North Carolina,Milwaukee Bucks,1987320
Forward,7,Ersan Ilyasova,82,235,27,Turkey,Milwaukee Bucks,7900000
Forward,17,Damien Inglis,81,240,19,INSEP (FRA),Milwaukee Bucks,820000
Guard,11,Brandon Knight,75,189,23,Kentucky,Milwaukee Bucks,3553917
Guard,5,Kendall Marshall,76,195,23,North Carolina,Milwaukee Bucks,915243
Guard,00,O. J. Mayo,76,210,27,Southern California,Milwaukee Bucks,8000000
Forward,22,Khris Middleton,80,217,23,Texas A&M,Milwaukee Bucks,915243
Forward,3,Johnny O'Bryant,81,256,21,LSU,Milwaukee Bucks,600000
Forward-center,27,Zaza Pachulia,83,275,30,Georgia,Milwaukee Bucks,5200000
Forward,12,Jabari Parker,80,235,19,Duke,Milwaukee Bucks,4930560
Forward-center,8,Larry Sanders,83,235,26,Virginia Commonwealth,Milwaukee Bucks,11000000
Guard,6,Nate Wolters,76,190,23,South Dakota State,Milwaukee Bucks,816482
Forward-center,6,Pero Antic,83,260,32,Macedonia,Atlanta Hawks,1250000
Guard,24,Kent Bazemore,77,201,25,Old Dominion,Atlanta Hawks,2000000
Forward-center,7,Elton Brand,81,254,35,Duke,Atlanta Hawks,2000000
Forward,5,DeMarre Carroll,80,212,28,Missouri,Atlanta Hawks,2442455
Forward-center,15,Al Horford,82,250,28,Florida,Atlanta Hawks,12000000
Guard,12,John Jenkins,76,215,23,Vanderbilt,Atlanta Hawks,1312920
Swingman,26,Kyle Korver,79,212,33,Creighton,Atlanta Hawks,6253521
Guard,8,Shelvin Mack,75,207,24,Butler,Atlanta Hawks,2433333
Forward,4,Paul Millsap,80,253,29,Louisiana Tech,Atlanta Hawks,9500000
Forward-center,31,Mike Muscala,83,239,23,Bucknell,Atlanta Hawks,816482
Forward-center,33,Adreian Payne,82,245,23,Michigan State,Atlanta Hawks,1855320
Guard,17,Dennis Schroder,73,168,21,Germany,Atlanta Hawks,1690680
Forward,32,Mike Scott,80,237,26,Virginia,Atlanta Hawks,3333333
Swingman,25,Thabo Sefolosha,79,222,30,Switzerland,Atlanta Hawks,4150000
Guard,0,Jeff Teague,74,181,26,Wake Forest,Atlanta Hawks,8000000
Forward-center,8,Bismack Biyombo,81,245,22,DR Congo,Charlotte Hornets,3873398
Swingman,19,P. J. Hairston,78,230,22,North Carolina,Charlotte Hornets,1149720
Swingman,9,Gerald Henderson,77,215,27,Duke,Charlotte Hornets,6000000
Forward-center,25,Al Jefferson,82,289,29,Prentiss HS (MS),Charlotte Hornets,13666667
Forward,14,Michael Kidd-Gilchrist,79,232,21,Kentucky,Charlotte Hornets,5016960
Forward,54,Jason Maxiell,79,260,31,Cincinnati,Charlotte Hornets,1316809
Guard,12,Gary Neal,76,210,30,Towson,Charlotte Hornets,3250000
Guard,5,Jannero Pargo,73,185,35,Arkansas,Charlotte Hornets,1448490
Guard,22,Brian Roberts,73,173,29,Dayton,Charlotte Hornets,2732000
Guard,1,Lance Stephenson,77,230,24,Cincinnati,Charlotte Hornets,9000000
Swingman,44,Jeffery Taylor,79,225,25,Vanderbilt,Charlotte Hornets,915243
Forward,11,Noah Vonleh,81,247,19,Indiana,Charlotte Hornets,2524200
Guard,15,Kemba Walker,73,184,24,Connecticut,Charlotte Hornets,3272091
Forward,2,Marvin Williams,81,237,28,North Carolina,Charlotte Hornets,7000000
Forward-center,40,Cody Zeller,84,240,22,Indiana,Charlotte Hornets,4030560
Forward-center,11,Chris Andersen,82,245,36,Blinn College,Miami Heat,5375000
Forward-center,1,Chris Bosh,83,235,30,Georgia Tech,Miami Heat,20644400
Guard,26,Shannon Brown,75,215,29,Michigan State,Miami Heat,1310286
Guard,15,Mario Chalmers,74,190,28,Kansas,Miami Heat,4000000
Guard,30,Norris Cole,74,175,26,Cleveland State,Miami Heat,2038206
Guard,24,Andre Dawkins,77,219,23,Duke,Miami Heat,507336
Forward,9,Luol Deng,81,220,29,Duke,Miami Heat,9714461
Forward,32,James Ennis,79,208,24,Long Beach State,Miami Heat,507336
Swingman,22,Danny Granger,81,222,31,New Mexico,Miami Heat,2077000
Center,7,Justin Hamilton,84,255,24,LSU,Miami Heat,816482
Forward-center,40,Udonis Haslem,80,235,34,Florida,Miami Heat,2732000
Forward,4,Josh McRoberts,82,240,27,Duke,Miami Heat,5305000
Guard,13,Shabazz Napier,73,170,23,Connecticut,Miami Heat,1238640
Guard,3,Dwyane Wade,76,220,32,Marquette,Miami Heat,15000000
Forward,43,Shawne Williams,82,230,28,Memphis,Miami Heat,1227985
Center,3,Dewayne Dedmon,84,245,25,Southern California,Orlando Magic,816482
Guard,10,Evan Fournier,79,205,22,France,Orlando Magic,1483920
Forward-center,8,Channing Frye,83,255,31,Arizona,Orlando Magic,8175476
Forward,00,Aaron Gordon,81,220,19,Arizona,Orlando Magic,3992040
Guard,7,Ben Gordon,75,205,31,Connecticut,Orlando Magic,4500000
Guard,34,Willie Green,75,205,33,Detroit,Orlando Magic,1448490
Forward,21,Maurice Harkless,81,215,21,St. John's,Orlando Magic,1887840
Forward,12,Tobias Harris,81,235,22,Tennessee,Orlando Magic,2380594
Swingman,11,Roy Devyn Marble,78,200,22,Iowa,Orlando Magic,884879
Forward,44,Andrew Nicholson,81,250,25,St. Bonaventure,Orlando Magic,1545840
Forward,2,Kyle O'Quinn,82,250,24,Norfolk State,Orlando Magic,915243
Guard,5,Victor Oladipo,76,210,22,Indiana,Orlando Magic,4978200
Guard,4,Elfrid Payton,76,185,20,Louisiana-Lafayette,Orlando Magic,2397840
Guard,13,Luke Ridnour,74,175,33,Oregon,Orlando Magic,2750000
Center,9,Nikola Vucevic,84,260,24,Southern California,Orlando Magic,2751260
Guard,3,Bradley Beal,77,207,21,Florida,Washington Wizards,4505280
Center,45,DeJuan Blair,79,270,25,Pittsburgh,Washington Wizards,2000000
Forward,8,Rasual Butler,79,215,35,La Salle,Washington Wizards,1448490
Forward-center,90,Drew Gooden,82,250,33,Kansas,Washington Wizards,1448000
Center,4,Marcin Gortat,83,240,30,Poland,Washington Wizards,10434782
Forward-center,43,Kris Humphries,81,235,29,Minnesota,Washington Wizards,4300000
Guard,24,Andre Miller,74,200,38,Utah,Washington Wizards,4625000
Forward-center,42,Nene,83,250,32,Brazil,Washington Wizards,13000000
Forward,34,Paul Pierce,79,235,37,Kansas,Washington Wizards,5305000
Forward,22,Otto Porter,80,198,21,Georgetown,Washington Wizards,4470480
Swingman,14,Glen Rice,78,206,23,Georgia Tech,Washington Wizards,816482
Forward-center,13,Kevin Seraphin,81,275,25,France,Washington Wizards,3898692
Guard,17,Garrett Temple,78,195,28,LSU,Washington Wizards,981084
Guard,2,John Wall,76,195,24,Kentucky,Washington Wizards,14746000
Swingman,9,Martell Webster,79,230,28,Seattle Preparatory (WA),Washington Wizards,5381750
Forward,7,Al-Farouq Aminu,81,215,24,Wake Forest,Dallas Mavericks,1100602
Guard,5,Jose Juan Barea,72,183,30,Northeastern,Dallas Mavericks,1310286
Center,6,Tyson Chandler,85,240,32,Dominguez HS (CA),Dallas Mavericks,14598888
Forward,9,Jae Crowder,78,235,24,Marquette,Dallas Mavericks,915243
Guard,11,Monta Ellis,75,185,29,Lanier HS (MS),Dallas Mavericks,8360000
