make,fuel-type,aspiration,num-doors,body-style,drive-wheels,length,width,height,curb-weight,num-of-cylinders,fuel-system,horsepower,peak-rpm,city-mpg,highway-mpg,price
alfa-romero,gas,std,two,convertible,rwd,168.8,64.1,48.8,2548,four,mpfi,111,5000,21,27,13495
alfa-romero,gas,std,two,convertible,rwd,168.8,64.1,48.8,2548,four,mpfi,111,5000,21,27,16500
alfa-romero,gas,std,two,hatchback,rwd,171.2,65.5,52.4,2823,six,mpfi,154,5000,19,26,16500
audi,gas,std,four,sedan,fwd,176.6,66.2,54.3,2337,four,mpfi,102,5500,24,30,13950
audi,gas,std,four,sedan,4wd,176.6,66.4,54.3,2824,five,mpfi,115,5500,18,22,17450
audi,gas,std,two,sedan,fwd,177.3,66.3,53.1,2507,five,mpfi,110,5500,19,25,15250
audi,gas,std,four,sedan,fwd,192.7,71.4,55.7,2844,five,mpfi,110,5500,19,25,17710
audi,gas,std,four,wagon,fwd,192.7,71.4,55.7,2954,five,mpfi,110,5500,19,25,18920
audi,gas,turbo,four,sedan,fwd,192.7,71.4,55.9,3086,five,mpfi,140,5500,17,20,23875
audi,gas,turbo,two,hatchback,4wd,178.2,67.9,52,3053,five,mpfi,160,5500,16,22,
bmw,gas,std,two,sedan,rwd,176.8,64.8,54.3,2395,four,mpfi,101,5800,23,29,16430
bmw,gas,std,four,sedan,rwd,176.8,64.8,54.3,2395,four,mpfi,101,5800,23,29,16925
bmw,gas,std,two,sedan,rwd,176.8,64.8,54.3,2710,six,mpfi,121,4250,21,28,20970
bmw,gas,std,four,sedan,rwd,176.8,64.8,54.3,2765,six,mpfi,121,4250,21,28,21105
bmw,gas,std,four,sedan,rwd,189,66.9,55.7,3055,six,mpfi,121,4250,20,25,24565
bmw,gas,std,four,sedan,rwd,189,66.9,55.7,3230,six,mpfi,182,5400,16,22,30760
bmw,gas,std,two,sedan,rwd,193.8,67.9,53.7,3380,six,mpfi,182,5400,16,22,41315
bmw,gas,std,four,sedan,rwd,197,70.9,56.3,3505,six,mpfi,182,5400,15,20,36880
chevrolet,gas,std,two,hatchback,fwd,141.1,60.3,53.2,1488,three,2bbl,48,5100,47,53,5151
chevrolet,gas,std,two,hatchback,fwd,155.9,63.6,52,1874,four,2bbl,70,5400,38,43,6295
chevrolet,gas,std,four,sedan,fwd,158.8,63.6,52,1909,four,2bbl,70,5400,38,43,6575
dodge,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1876,four,2bbl,68,5500,37,41,5572
dodge,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1876,four,2bbl,68,5500,31,38,6377
dodge,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2128,four,mpfi,102,5500,24,30,7957
dodge,gas,std,four,hatchback,fwd,157.3,63.8,50.6,1967,four,2bbl,68,5500,31,38,6229
dodge,gas,std,four,sedan,fwd,157.3,63.8,50.6,1989,four,2bbl,68,5500,31,38,6692
dodge,gas,std,four,sedan,fwd,157.3,63.8,50.6,1989,four,2bbl,68,5500,31,38,7609
dodge,gas,turbo,,sedan,fwd,157.3,63.8,50.6,2191,four,mpfi,102,5500,24,30,8558
dodge,gas,std,four,wagon,fwd,174.6,64.6,59.8,2535,four,2bbl,88,5000,24,30,8921
dodge,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2811,four,mfi,145,5000,19,24,12964
honda,gas,std,two,hatchback,fwd,144.6,63.9,50.8,1713,four,1bbl,58,4800,49,54,6479
honda,gas,std,two,hatchback,fwd,144.6,63.9,50.8,1819,four,1bbl,76,6000,31,38,6855
honda,gas,std,two,hatchback,fwd,150,64,52.6,1837,four,1bbl,60,5500,38,42,5399
honda,gas,std,two,hatchback,fwd,150,64,52.6,1940,four,1bbl,76,6000,30,34,6529
honda,gas,std,two,hatchback,fwd,150,64,52.6,1956,four,1bbl,76,6000,30,34,7129
honda,gas,std,four,sedan,fwd,163.4,64,54.5,2010,four,1bbl,76,6000,30,34,7295
honda,gas,std,four,wagon,fwd,157.1,63.9,58.3,2024,four,1bbl,76,6000,30,34,7295
honda,gas,std,two,hatchback,fwd,167.5,65.2,53.3,2236,four,1bbl,86,5800,27,33,7895
honda,gas,std,two,hatchback,fwd,167.5,65.2,53.3,2289,four,1bbl,86,5800,27,33,9095
honda,gas,std,four,sedan,fwd,175.4,65.2,54.1,2304,four,1bbl,86,5800,27,33,8845
honda,gas,std,four,sedan,fwd,175.4,62.5,54.1,2372,four,1bbl,86,5800,27,33,10295
honda,gas,std,four,sedan,fwd,175.4,65.2,54.1,2465,four,mpfi,101,5800,24,28,12945
honda,gas,std,two,sedan,fwd,169.1,66,51,2293,four,2bbl,100,5500,25,31,10345
isuzu,gas,std,four,sedan,rwd,170.7,61.8,53.5,2337,four,2bbl,78,4800,24,29,6785
isuzu,gas,std,two,sedan,fwd,155.9,63.6,52,1874,four,2bbl,70,5400,38,43,
isuzu,gas,std,four,sedan,fwd,155.9,63.6,52,1909,four,2bbl,70,5400,38,43,
isuzu,gas,std,two,hatchback,rwd,172.6,65.2,51.4,2734,four,spfi,90,5000,24,29,11048
jaguar,gas,std,four,sedan,rwd,199.6,69.6,52.8,4066,six,mpfi,176,4750,15,19,32250
jaguar,gas,std,four,sedan,rwd,199.6,69.6,52.8,4066,six,mpfi,176,4750,15,19,35550
jaguar,gas,std,two,sedan,rwd,191.7,70.6,47.8,3950,twelve,mpfi,262,5000,13,17,36000
mazda,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1890,four,2bbl,68,5000,30,31,5195
mazda,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1900,four,2bbl,68,5000,31,38,6095
mazda,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1905,four,2bbl,68,5000,31,38,6795
mazda,gas,std,four,sedan,fwd,166.8,64.2,54.1,1945,four,2bbl,68,5000,31,38,6695
mazda,gas,std,four,sedan,fwd,166.8,64.2,54.1,1950,four,2bbl,68,5000,31,38,7395
mazda,gas,std,two,hatchback,rwd,169,65.7,49.6,2380,two,4bbl,101,6000,17,23,10945
mazda,gas,std,two,hatchback,rwd,169,65.7,49.6,2380,two,4bbl,101,6000,17,23,11845
mazda,gas,std,two,hatchback,rwd,169,65.7,49.6,2385,two,4bbl,101,6000,17,23,13645
mazda,gas,std,two,hatchback,rwd,169,65.7,49.6,2500,two,mpfi,135,6000,16,23,15645
mazda,gas,std,two,hatchback,fwd,177.8,66.5,53.7,2385,four,2bbl,84,4800,26,32,8845
mazda,gas,std,four,sedan,fwd,177.8,66.5,55.5,2410,four,2bbl,84,4800,26,32,8495
mazda,gas,std,two,hatchback,fwd,177.8,66.5,53.7,2385,four,2bbl,84,4800,26,32,10595
mazda,gas,std,four,sedan,fwd,177.8,66.5,55.5,2410,four,2bbl,84,4800,26,32,10245
mazda,diesel,std,,sedan,fwd,177.8,66.5,55.5,2443,four,idi,64,4650,36,42,10795
mazda,gas,std,four,hatchback,fwd,177.8,66.5,55.5,2425,four,2bbl,84,4800,26,32,11245
mazda,gas,std,four,sedan,rwd,175,66.1,54.4,2670,four,mpfi,120,5000,19,27,18280
mazda,diesel,std,four,sedan,rwd,175,66.1,54.4,2700,four,idi,72,4200,31,39,18344
mercedes-benz,diesel,turbo,four,sedan,rwd,190.9,70.3,56.5,3515,five,idi,123,4350,22,25,25552
mercedes-benz,diesel,turbo,four,wagon,rwd,190.9,70.3,58.7,3750,five,idi,123,4350,22,25,28248
mercedes-benz,diesel,turbo,two,hardtop,rwd,187.5,70.3,54.9,3495,five,idi,123,4350,22,25,28176
mercedes-benz,diesel,turbo,four,sedan,rwd,202.6,71.7,56.3,3770,five,idi,123,4350,22,25,31600
mercedes-benz,gas,std,four,sedan,rwd,202.6,71.7,56.5,3740,eight,mpfi,155,4750,16,18,34184
mercedes-benz,gas,std,two,convertible,rwd,180.3,70.5,50.8,3685,eight,mpfi,155,4750,16,18,35056
mercedes-benz,gas,std,four,sedan,rwd,208.1,71.7,56.7,3900,eight,mpfi,184,4500,14,16,40960
mercedes-benz,gas,std,two,hardtop,rwd,199.2,72,55.4,3715,eight,mpfi,184,4500,14,16,45400
mercury,gas,turbo,two,hatchback,rwd,178.4,68,54.8,2910,four,mpfi,175,5000,19,24,16503
mitsubishi,gas,std,two,hatchback,fwd,157.3,64.4,50.8,1918,four,2bbl,68,5500,37,41,5389
mitsubishi,gas,std,two,hatchback,fwd,157.3,64.4,50.8,1944,four,2bbl,68,5500,31,38,6189
mitsubishi,gas,std,two,hatchback,fwd,157.3,64.4,50.8,2004,four,2bbl,68,5500,31,38,6669
mitsubishi,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2145,four,spdi,102,5500,24,30,7689
mitsubishi,gas,turbo,two,hatchback,fwd,173,65.4,49.4,2370,four,spdi,116,5500,23,30,9959
mitsubishi,gas,std,two,hatchback,fwd,173,65.4,49.4,2328,four,2bbl,88,5000,25,32,8499
mitsubishi,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2833,four,spdi,145,5000,19,24,12629
